Strain,Potential Energy(eV)
-0.080000,-288.055106
-0.070000,-321.354616
-0.060000,-347.952020
-0.050000,-368.775758
-0.040000,-384.506741
-0.030000,-396.219565
-0.020000,-404.167740
-0.010000,-408.675133
-0.000000,-410.207742
0.010000,-409.590256
0.020000,-406.904581
0.030000,-402.468696
0.040000,-396.602528
0.050000,-389.748859
0.060000,-382.449336
0.070000,-374.660871
0.080000,-366.526743
