Strain,Potential Energy(eV)
-0.080000,-378.906986
-0.070000,-387.093340
-0.060000,-393.765983
-0.050000,-399.371848
-0.040000,-403.722105
-0.030000,-406.848021
-0.020000,-408.892231
-0.010000,-409.978116
-0.000000,-410.207742
0.010000,-409.934374
0.020000,-409.065894
0.030000,-407.680790
0.040000,-405.889517
0.050000,-403.775775
0.060000,-401.618149
0.070000,-399.219440
0.080000,-396.583456
